,User,Level_of_Study,Year_of_Course,Registration_Status,Course_Title,Course_Code,Teaching_Sessions,Attended,Explained_Absences,Non_Attendance,Percentage_Attendance,Percentage_Attendance_Unexcused,Last_Attendence,Assessments,Submitted,Explained_Non_Submission,Non_Submission,Within_Late_Period_Flag,Percentage_Submitted,Last_Submitted,Academic_Advising_Sessions,Attended_AA,Explained_Non_Attendances_AA,Non_Attendances_AA,Attendance_Not_Recorded_AA,Percentage_Attendance_AA,Last_Attended_AA
2099,43008476.0,UG,2.0,REGISTERED,Mechanical Engineering,H3002U,18.0,7.0,0.0,11.0,0.388888888888889,0.388888888888889,2017-11-02T17:00:00.000000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-02T13:58:14.000000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-01T00:00:00.000000
2100,43002014.0,UG,3.0,REGISTERED,Mechanical Engineering,H3002U,10.0,9.0,0.0,1.0,0.9,0.9,2017-11-06T11:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2101,43402408.0,UG,1.0,REGISTERED,Product Design (IP),H7006U,19.0,17.0,1.0,1.0,0.894736842105263,0.947368421052632,2017-11-06T15:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-10-24T12:19:56.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2102,43009240.0,UG,2.0,REGISTERED,Mechanical Engineering,H3002U,20.0,9.0,1.0,10.0,0.45,0.5,2017-11-06T09:00:00.000000,2.0,2.0,0.0,0.0,0.0,1.0,2017-11-02T09:50:44.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2103,43438584.0,PGT,1.0,REGISTERED,Robotics and Autonomous System,H6519T,25.0,14.0,0.0,11.0,0.56,0.56,2017-11-03T14:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2104,43006742.0,UG,3.0,REGISTERED,Mechanical Engineering,H3002U,10.0,9.0,0.0,1.0,0.9,0.9,2017-11-06T11:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2105,43202432.0,UG,1.0,REGISTERED,Computer Science,G5001U,26.0,23.0,0.0,3.0,0.884615384615385,0.884615384615385,2017-11-06T15:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-11-01T11:34:12.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2106,43009392.0,UG,3.0,REGISTERED,Mechanical Engineering,H3002U,12.0,10.0,0.0,2.0,0.833333333333333,0.833333333333333,2017-11-06T11:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2107,43398652.0,UG,1.0,REGISTERED,V&E - Informatics,YY003U,14.0,10.0,1.0,3.0,0.714285714285714,0.785714285714286,2017-11-03T17:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-10-26T13:31:22.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2108,43209878.0,UG,1.0,REGISTERED,Comp Sci (IP),G40F0U,25.0,8.0,6.0,11.0,0.32,0.56,2017-10-31T12:59:59.999000,1.0,0.0,0.0,1.0,0.0,0.0,2017-10-16T09:00:00.000000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
2109,43008874.0,UG,1.0,REGISTERED,Comp Sci and AI,G5005U,24.0,20.0,0.0,4.0,0.833333333333333,0.833333333333333,2017-11-06T09:00:00.000000,1.0,1.0,0.0,0.0,0.0,1.0,2017-11-02T12:00:55.999000,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-16T09:00:00.000000
